,Original Label,ANGER,LOVE,SADNESS,SURPRISE,JOY,FEAR,Predicted Label
7719,anger,0.397,0.397,0.43,0.397,0.397,0.397,sadness
7720,sadness,0.37,0.37,0.398,0.37,0.37,0.37,sadness
7721,sadness,0.373,0.373,0.401,0.373,0.373,0.373,sadness
7722,joy,0.195,0.195,0.21,0.195,0.195,0.195,sadness
7723,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7724,fear,0.484,0.484,0.524,0.484,0.484,0.484,sadness
7725,sadness,0.351,0.351,0.379,0.351,0.351,0.351,sadness
7726,sadness,0.118,0.118,0.125,0.118,0.118,0.118,sadness
7727,sadness,0.393,0.393,0.427,0.393,0.393,0.393,sadness
7728,anger,0.314,0.314,0.341,0.314,0.314,0.314,sadness
7729,joy,0,0,0,0,0,0,not found
7730,anger,0.262,0.262,0.283,0.262,0.262,0.262,sadness
7731,fear,0.231,0.231,0.249,0.231,0.231,0.231,sadness
7732,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7733,sadness,0.442,0.469,0.446,0.415,0.442,0.442,love
7734,fear,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7735,sadness,0.268,0.268,0.287,0.268,0.268,0.268,sadness
7736,anger,0,0,0,0,0,0,not found
7737,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7738,sadness,0.375,0.375,0.405,0.375,0.375,0.375,sadness
7739,anger,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7740,love,0.24,0.24,0.258,0.24,0.24,0.24,sadness
7741,fear,0,0,0,0,0,0,not found
7742,love,0.34,0.34,0.367,0.34,0.34,0.34,sadness
7743,surprise,0.167,0.167,0.178,0.167,0.167,0.167,sadness
7744,sadness,0.349,0.349,0.374,0.349,0.349,0.349,sadness
7745,anger,0,0,0,0,0,0,not found
7746,joy,0.348,0.348,0.375,0.348,0.348,0.348,sadness
7747,joy,0.288,0.288,0.31,0.288,0.288,0.288,sadness
7748,sadness,0.462,0.462,0.5,0.462,0.462,0.462,sadness
7749,love,0.244,0.244,0.262,0.244,0.244,0.244,sadness
7750,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7751,sadness,0.23,0.23,0.247,0.23,0.23,0.23,sadness
7752,anger,0.274,0.274,0.295,0.274,0.274,0.274,sadness
7753,joy,0.352,0.352,0.38,0.352,0.352,0.352,sadness
7754,sadness,0.196,0.196,0.21,0.196,0.196,0.196,sadness
7755,joy,0.292,0.292,0.315,0.292,0.292,0.292,sadness
7756,joy,0.245,0.245,0.262,0.245,0.245,0.245,sadness
7757,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7758,anger,0.287,0.287,0.31,0.287,0.287,0.287,sadness
7759,joy,0.346,0.346,0.373,0.346,0.346,0.346,sadness
7760,sadness,0.317,0.317,0.341,0.317,0.317,0.317,sadness
7761,love,0,0,0,0,0,0,not found
7762,anger,0.333,0.333,0.364,0.333,0.333,0.333,sadness
7763,sadness,0.29,0.29,0.312,0.29,0.29,0.29,sadness
7764,sadness,0.23,0.23,0.247,0.23,0.23,0.23,sadness
7765,sadness,0.198,0.198,0.211,0.198,0.198,0.198,sadness
7766,joy,0,0,0,0,0,0,not found
7767,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
7768,joy,0.245,0.245,0.264,0.245,0.245,0.245,sadness
7769,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7770,anger,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7771,joy,0.2,0.2,0.211,0.2,0.2,0.2,sadness
7772,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7773,anger,0.3,0.3,0.325,0.3,0.3,0.3,sadness
7774,joy,0.227,0.227,0.244,0.227,0.227,0.227,sadness
7775,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7776,sadness,0,0,0,0,0,0,not found
7777,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7778,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7779,love,0.211,0.211,0.226,0.211,0.211,0.211,sadness
7780,fear,0.125,0.125,0.133,0.125,0.125,0.125,sadness
7781,fear,0.17,0.17,0.183,0.17,0.17,0.17,sadness
7782,fear,0.325,0.325,0.354,0.325,0.325,0.325,sadness
7783,sadness,0.265,0.265,0.285,0.265,0.265,0.265,sadness
7784,sadness,0.292,0.292,0.315,0.292,0.292,0.292,sadness
7785,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7786,fear,0.143,0.143,0.154,0.143,0.143,0.143,sadness
7787,sadness,0.188,0.188,0.2,0.188,0.188,0.188,sadness
7788,joy,0.118,0.118,0.125,0.118,0.118,0.118,sadness
7789,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7790,surprise,0.223,0.223,0.241,0.223,0.223,0.223,sadness
7791,love,0.267,0.267,0.287,0.267,0.267,0.267,sadness
7792,sadness,0.257,0.257,0.275,0.257,0.257,0.257,sadness
7793,sadness,0.279,0.279,0.3,0.279,0.279,0.279,sadness
7794,anger,0.284,0.284,0.307,0.284,0.284,0.284,sadness
7795,love,0.463,0.463,0.499,0.463,0.463,0.463,sadness
7796,surprise,0.459,0.459,0.475,0.442,0.476,0.459,joy
7797,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7798,fear,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7799,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7800,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7801,joy,0.339,0.339,0.364,0.339,0.339,0.339,sadness
7802,joy,0.236,0.236,0.255,0.236,0.236,0.236,sadness
7803,joy,0.25,0.25,0.269,0.25,0.25,0.25,sadness
7804,joy,0.385,0.385,0.417,0.385,0.385,0.385,sadness
7805,anger,0.297,0.297,0.321,0.297,0.297,0.297,sadness
7806,love,0.714,0.714,0.769,0.714,0.714,0.714,sadness
7807,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7808,joy,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7809,joy,0.479,0.479,0.521,0.479,0.479,0.479,sadness
7810,joy,0.165,0.165,0.175,0.165,0.165,0.165,sadness
7811,anger,0.266,0.266,0.285,0.266,0.266,0.266,sadness
7812,fear,0.268,0.268,0.287,0.268,0.268,0.268,sadness
7813,sadness,0.239,0.239,0.257,0.239,0.239,0.239,sadness
7814,sadness,0.255,0.255,0.275,0.255,0.255,0.255,sadness
7815,sadness,0,0,0,0,0,0,not found
7816,fear,0.552,0.552,0.597,0.552,0.552,0.552,sadness
7817,joy,0.196,0.196,0.21,0.196,0.196,0.196,sadness
7818,surprise,0.267,0.267,0.286,0.267,0.267,0.267,sadness
7819,joy,0.259,0.259,0.278,0.259,0.259,0.259,sadness
7820,joy,0.473,0.473,0.479,0.448,0.473,0.473,sadness
7821,joy,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7822,joy,0.297,0.297,0.321,0.297,0.297,0.297,sadness
7823,sadness,0.278,0.278,0.298,0.278,0.278,0.278,sadness
7824,sadness,0.276,0.276,0.297,0.276,0.276,0.276,sadness
7825,sadness,0.205,0.205,0.221,0.205,0.205,0.205,sadness
7826,fear,0.279,0.279,0.3,0.279,0.279,0.279,sadness
7827,sadness,0.235,0.235,0.252,0.235,0.235,0.235,sadness
7828,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7829,joy,0.229,0.229,0.246,0.229,0.229,0.229,sadness
7830,joy,0.238,0.238,0.259,0.238,0.238,0.238,sadness
7831,sadness,0.292,0.292,0.315,0.292,0.292,0.292,sadness
7832,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7833,joy,0.192,0.192,0.205,0.192,0.192,0.192,sadness
7834,joy,0.13,0.13,0.139,0.13,0.13,0.13,sadness
7835,sadness,0.286,0.286,0.308,0.286,0.286,0.286,sadness
7836,love,0.249,0.249,0.268,0.249,0.249,0.249,sadness
7837,joy,0.284,0.284,0.306,0.284,0.284,0.284,sadness
7838,sadness,0.365,0.365,0.395,0.365,0.365,0.365,sadness
7839,love,0.462,0.462,0.5,0.462,0.462,0.462,sadness
7840,joy,0.18,0.18,0.192,0.18,0.18,0.18,sadness
7841,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
7842,fear,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7843,sadness,0.236,0.236,0.253,0.236,0.236,0.236,sadness
7844,love,0.323,0.323,0.348,0.323,0.323,0.323,sadness
7845,anger,0.281,0.281,0.303,0.281,0.281,0.281,sadness
7846,joy,0.435,0.435,0.469,0.435,0.435,0.435,sadness
7847,love,0.401,0.401,0.43,0.401,0.401,0.401,sadness
7848,anger,0.289,0.289,0.311,0.289,0.289,0.289,sadness
7849,joy,0.369,0.369,0.395,0.402,0.369,0.369,surprise
7850,love,0.235,0.235,0.25,0.235,0.235,0.235,sadness
7851,anger,0.363,0.363,0.392,0.363,0.363,0.363,sadness
7852,anger,0.191,0.191,0.205,0.191,0.191,0.191,sadness
7853,love,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7854,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7855,anger,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7856,love,0.269,0.269,0.29,0.269,0.269,0.269,sadness
7857,sadness,0.55,0.55,0.59,0.55,0.55,0.55,sadness
7858,joy,0,0,0,0,0,0,not found
7859,joy,0.374,0.374,0.404,0.374,0.374,0.374,sadness
7860,love,0,0,0,0,0,0,not found
7861,sadness,0.279,0.279,0.3,0.279,0.279,0.279,sadness
7862,fear,0.647,0.647,0.705,0.647,0.647,0.647,sadness
7863,joy,0.274,0.274,0.294,0.274,0.274,0.274,sadness
7864,sadness,0.263,0.263,0.282,0.263,0.263,0.263,sadness
7865,joy,0.236,0.236,0.255,0.236,0.236,0.236,sadness
7866,joy,0.275,0.275,0.298,0.275,0.275,0.275,sadness
7867,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7868,sadness,0,0,0,0,0,0,not found
7869,joy,0.275,0.275,0.298,0.275,0.275,0.275,sadness
7870,surprise,0.56,0.56,0.608,0.56,0.56,0.56,sadness
7871,sadness,0.249,0.249,0.268,0.249,0.249,0.249,sadness
7872,love,0.239,0.239,0.256,0.239,0.239,0.239,sadness
7873,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7874,surprise,0.143,0.143,0.154,0.143,0.143,0.143,sadness
7875,sadness,0.196,0.196,0.21,0.196,0.196,0.196,sadness
7876,fear,0.321,0.321,0.348,0.321,0.321,0.321,sadness
7877,surprise,0.333,0.333,0.364,0.333,0.333,0.333,sadness
7878,sadness,0.257,0.257,0.275,0.257,0.257,0.257,sadness
7879,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7880,love,0.252,0.252,0.271,0.252,0.252,0.252,sadness
7881,sadness,0.739,0.739,0.803,0.739,0.739,0.739,sadness
7882,joy,0.187,0.187,0.201,0.187,0.187,0.187,sadness
7883,love,0.42,0.42,0.451,0.42,0.42,0.42,sadness
7884,joy,0.363,0.363,0.391,0.363,0.363,0.363,sadness
7885,joy,0.205,0.205,0.222,0.205,0.205,0.205,sadness
7886,anger,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7887,joy,0.274,0.274,0.294,0.274,0.274,0.274,sadness
7888,joy,0.188,0.188,0.2,0.188,0.188,0.188,sadness
7889,sadness,0.248,0.248,0.268,0.248,0.248,0.248,sadness
7890,joy,0.22,0.22,0.237,0.22,0.22,0.22,sadness
7891,sadness,0.458,0.458,0.497,0.458,0.458,0.458,sadness
7892,anger,0,0,0,0,0,0,not found
7893,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7894,joy,0,0,0,0,0,0,not found
7895,anger,0.222,0.222,0.235,0.222,0.222,0.222,sadness
7896,joy,0.182,0.182,0.2,0.182,0.182,0.182,sadness
7897,joy,0.362,0.362,0.392,0.362,0.362,0.362,sadness
7898,joy,0.297,0.297,0.321,0.297,0.297,0.297,sadness
7899,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7900,joy,0.202,0.202,0.216,0.202,0.202,0.202,sadness
7901,fear,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7902,love,0.236,0.236,0.253,0.236,0.236,0.236,sadness
7903,joy,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7904,joy,0.244,0.244,0.263,0.244,0.244,0.244,sadness
7905,anger,0.273,0.273,0.292,0.273,0.273,0.273,sadness
7906,joy,0.292,0.292,0.315,0.292,0.292,0.292,sadness
7907,joy,0.225,0.225,0.242,0.225,0.225,0.225,sadness
7908,sadness,0.323,0.323,0.349,0.323,0.323,0.323,sadness
7909,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7910,joy,0.326,0.326,0.35,0.326,0.326,0.326,sadness
7911,surprise,0.366,0.366,0.392,0.366,0.366,0.366,sadness
7912,fear,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7913,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7914,fear,0.179,0.179,0.19,0.179,0.179,0.179,sadness
7915,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7916,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7917,fear,0.279,0.279,0.3,0.279,0.279,0.279,sadness
7918,sadness,0.315,0.315,0.339,0.315,0.315,0.315,sadness
7919,love,0.258,0.258,0.276,0.258,0.258,0.258,sadness
7920,fear,0.436,0.436,0.47,0.436,0.436,0.436,sadness
7921,joy,0.2,0.2,0.211,0.2,0.2,0.2,sadness
7922,joy,0.373,0.373,0.401,0.373,0.373,0.373,sadness
7923,joy,0.267,0.267,0.288,0.267,0.267,0.267,sadness
7924,sadness,0.294,0.294,0.318,0.294,0.294,0.294,sadness
7925,anger,0.262,0.262,0.28,0.262,0.262,0.262,sadness
7926,anger,0.375,0.375,0.4,0.375,0.375,0.375,sadness
7927,sadness,0,0,0,0,0,0,not found
7928,joy,0.317,0.317,0.338,0.317,0.317,0.317,sadness
7929,fear,0.253,0.253,0.273,0.253,0.253,0.253,sadness
7930,sadness,0,0,0,0,0,0,not found
7931,joy,0.442,0.442,0.478,0.442,0.442,0.442,sadness
7932,sadness,0.191,0.191,0.206,0.191,0.191,0.191,sadness
7933,joy,0.218,0.218,0.233,0.218,0.218,0.218,sadness
7934,sadness,0.359,0.379,0.363,0.339,0.359,0.359,love
7935,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7936,fear,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7937,joy,0.334,0.334,0.361,0.334,0.334,0.334,sadness
7938,sadness,0.26,0.26,0.28,0.26,0.26,0.26,sadness
7939,anger,0.271,0.271,0.292,0.271,0.271,0.271,sadness
7940,fear,0.714,0.714,0.769,0.714,0.714,0.714,sadness
7941,sadness,0.353,0.353,0.382,0.353,0.353,0.353,sadness
7942,joy,0.254,0.254,0.274,0.254,0.254,0.254,sadness
7943,joy,0,0,0,0,0,0,not found
7944,sadness,0,0,0,0,0,0,not found
7945,sadness,0.714,0.714,0.769,0.714,0.714,0.714,sadness
7946,sadness,0.264,0.264,0.313,0.264,0.264,0.264,sadness
7947,anger,0.381,0.381,0.413,0.381,0.381,0.381,sadness
7948,anger,0.174,0.174,0.187,0.174,0.174,0.174,sadness
7949,fear,0.417,0.417,0.455,0.417,0.417,0.417,sadness
7950,sadness,0.227,0.227,0.246,0.227,0.227,0.227,sadness
7951,joy,0.143,0.143,0.154,0.143,0.143,0.143,sadness
7952,joy,0.462,0.462,0.5,0.462,0.462,0.462,sadness
7953,joy,0,0,0,0,0,0,not found
7954,anger,0.261,0.261,0.279,0.261,0.261,0.261,sadness
7955,anger,0.533,0.533,0.571,0.533,0.533,0.533,sadness
7956,love,0.226,0.226,0.243,0.226,0.226,0.226,sadness
7957,fear,0.105,0.105,0.111,0.105,0.105,0.105,sadness
7958,anger,0.35,0.35,0.376,0.35,0.35,0.35,sadness
7959,sadness,0.384,0.384,0.411,0.384,0.384,0.384,sadness
7960,joy,0.308,0.308,0.333,0.308,0.308,0.308,sadness
7961,surprise,0.317,0.317,0.34,0.317,0.317,0.317,sadness
7962,joy,0.533,0.533,0.571,0.533,0.533,0.533,sadness
7963,fear,0.282,0.282,0.303,0.282,0.282,0.282,sadness
7964,joy,0.234,0.234,0.251,0.234,0.234,0.234,sadness
7965,joy,0.297,0.297,0.321,0.297,0.297,0.297,sadness
7966,joy,0.415,0.415,0.45,0.415,0.415,0.415,sadness
7967,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7968,joy,0.258,0.258,0.276,0.258,0.258,0.258,sadness
7969,joy,0.179,0.179,0.192,0.179,0.179,0.179,sadness
7970,joy,0.15,0.15,0.162,0.15,0.15,0.15,sadness
7971,sadness,0.307,0.307,0.33,0.307,0.307,0.307,sadness
7972,sadness,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7973,fear,0.394,0.394,0.392,0.365,0.394,0.394,anger
7974,sadness,0.568,0.604,0.535,0.497,0.568,0.568,love
7975,joy,0.338,0.338,0.364,0.338,0.338,0.338,sadness
7976,joy,0.426,0.426,0.461,0.426,0.426,0.426,sadness
7977,sadness,0,0,0,0,0,0,not found
7978,joy,0.251,0.251,0.27,0.251,0.251,0.251,sadness
7979,joy,0.615,0.615,0.667,0.615,0.615,0.615,sadness
7980,love,0.365,0.365,0.356,0.33,0.365,0.365,anger
7981,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7982,anger,0.833,0.833,0.909,0.833,0.833,0.833,sadness
7983,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
7984,fear,0.282,0.282,0.304,0.282,0.282,0.282,sadness
7985,joy,0.566,0.566,0.614,0.566,0.566,0.566,sadness
7986,sadness,0.235,0.235,0.25,0.235,0.235,0.235,sadness
7987,fear,0.348,0.348,0.376,0.348,0.348,0.348,sadness
7988,joy,0.252,0.252,0.272,0.252,0.252,0.252,sadness
7989,joy,0.35,0.35,0.379,0.35,0.35,0.35,sadness
7990,anger,0.286,0.286,0.308,0.286,0.286,0.286,sadness
7991,sadness,0.242,0.242,0.26,0.242,0.242,0.242,sadness
7992,love,0.125,0.125,0.133,0.125,0.125,0.125,sadness
7993,joy,0.387,0.387,0.416,0.387,0.387,0.387,sadness
7994,joy,0.297,0.297,0.321,0.297,0.297,0.297,sadness
7995,love,0,0,0,0,0,0,not found
7996,joy,0.332,0.332,0.356,0.332,0.332,0.332,sadness
7997,sadness,0.118,0.118,0.125,0.118,0.118,0.118,sadness
7998,joy,0.34,0.34,0.367,0.34,0.34,0.34,sadness
7999,joy,0.355,0.355,0.383,0.355,0.355,0.355,sadness
8000,joy,0.164,0.164,0.175,0.164,0.164,0.164,sadness
8001,sadness,0.258,0.258,0.276,0.258,0.258,0.258,sadness
8002,joy,0.206,0.206,0.22,0.206,0.206,0.206,sadness
8003,surprise,0.833,0.833,0.909,0.833,0.833,0.833,sadness
8004,joy,0.24,0.24,0.259,0.24,0.24,0.24,sadness
8005,sadness,0.248,0.248,0.266,0.248,0.248,0.248,sadness
8006,love,0.244,0.244,0.264,0.244,0.244,0.244,sadness
8007,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
8008,sadness,0.199,0.199,0.211,0.199,0.199,0.199,sadness
8009,anger,0.441,0.441,0.479,0.441,0.441,0.441,sadness
8010,sadness,0.283,0.283,0.305,0.283,0.283,0.283,sadness
8011,joy,0.464,0.512,0.448,0.417,0.464,0.464,love
8012,love,0.177,0.177,0.19,0.177,0.177,0.177,sadness
8013,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
8014,joy,0,0,0,0,0,0,not found
8015,joy,0.617,0.617,0.677,0.617,0.617,0.617,sadness
8016,joy,0.308,0.308,0.33,0.308,0.308,0.308,sadness
8017,sadness,0.238,0.238,0.256,0.238,0.238,0.238,sadness
8018,joy,0.238,0.238,0.259,0.238,0.238,0.238,sadness
8019,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
8020,anger,0.229,0.229,0.245,0.229,0.229,0.229,sadness
8021,sadness,0.279,0.279,0.3,0.279,0.279,0.279,sadness
8022,joy,0.312,0.312,0.337,0.312,0.312,0.312,sadness
8023,anger,0.222,0.222,0.238,0.222,0.222,0.222,sadness
8024,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
8025,joy,0.279,0.279,0.3,0.279,0.279,0.279,sadness
8026,fear,0.206,0.206,0.221,0.206,0.206,0.206,sadness
8027,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
8028,joy,0.203,0.203,0.218,0.203,0.203,0.203,sadness
8029,love,0.25,0.25,0.267,0.25,0.25,0.25,sadness
8030,love,0.273,0.273,0.293,0.273,0.273,0.273,sadness
8031,joy,0.225,0.225,0.244,0.225,0.225,0.225,sadness
8032,love,0.274,0.274,0.294,0.274,0.274,0.274,sadness
8033,joy,0.269,0.269,0.291,0.269,0.269,0.269,sadness
8034,joy,0.308,0.308,0.333,0.308,0.308,0.308,sadness
8035,joy,0.433,0.433,0.467,0.433,0.433,0.433,sadness
8036,joy,0,0,0,0,0,0,not found
8037,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
8038,joy,0.222,0.222,0.235,0.222,0.222,0.222,sadness
8039,fear,0.714,0.714,0.769,0.714,0.714,0.714,sadness
8040,anger,0.276,0.276,0.299,0.276,0.276,0.276,sadness
8041,fear,0,0,0,0,0,0,not found
8042,joy,0.3,0.3,0.325,0.3,0.3,0.3,sadness
8043,anger,0.23,0.23,0.247,0.23,0.23,0.23,sadness
8044,fear,0.184,0.184,0.196,0.184,0.184,0.184,sadness
8045,sadness,0.464,0.464,0.503,0.464,0.464,0.464,sadness
8046,joy,0.833,0.833,0.909,0.833,0.833,0.833,sadness
8047,sadness,0.333,0.333,0.359,0.333,0.333,0.333,sadness
8048,fear,0.258,0.258,0.276,0.258,0.258,0.258,sadness
8049,sadness,0.257,0.257,0.275,0.257,0.257,0.257,sadness
8050,sadness,0.542,0.542,0.588,0.542,0.542,0.542,sadness
8051,joy,0.189,0.189,0.203,0.189,0.189,0.189,sadness
8052,joy,0.214,0.214,0.231,0.214,0.214,0.214,sadness
8053,joy,0.286,0.286,0.308,0.286,0.286,0.286,sadness
8054,joy,0.233,0.233,0.248,0.233,0.233,0.233,sadness
8055,joy,0.245,0.245,0.264,0.245,0.245,0.245,sadness
8056,sadness,0.247,0.247,0.265,0.247,0.247,0.247,sadness
8057,anger,0.286,0.286,0.308,0.286,0.286,0.286,sadness
8058,joy,0.202,0.202,0.217,0.202,0.202,0.202,sadness
8059,joy,0.302,0.302,0.327,0.302,0.302,0.302,sadness
8060,surprise,0.268,0.268,0.291,0.268,0.268,0.268,sadness
8061,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
8062,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
8063,joy,0.25,0.25,0.267,0.25,0.25,0.25,sadness
8064,joy,0.287,0.287,0.308,0.287,0.287,0.287,sadness
8065,sadness,0.28,0.28,0.302,0.28,0.28,0.28,sadness
8066,sadness,0.25,0.25,0.267,0.25,0.25,0.25,sadness
8067,joy,0.361,0.361,0.392,0.361,0.361,0.361,sadness
8068,joy,0.26,0.26,0.278,0.26,0.26,0.26,sadness
8069,anger,0.429,0.429,0.462,0.429,0.429,0.429,sadness
8070,joy,0.258,0.258,0.279,0.258,0.258,0.258,sadness
8071,joy,0.179,0.179,0.191,0.179,0.179,0.179,sadness
8072,sadness,0.343,0.343,0.371,0.343,0.343,0.343,sadness
8073,sadness,0.317,0.317,0.345,0.317,0.317,0.317,sadness
8074,sadness,0.437,0.437,0.476,0.437,0.437,0.437,sadness
8075,fear,0.239,0.239,0.258,0.239,0.239,0.239,sadness
8076,fear,0.348,0.348,0.374,0.348,0.348,0.348,sadness
8077,sadness,0.373,0.373,0.405,0.373,0.373,0.373,sadness
8078,surprise,0.212,0.212,0.227,0.212,0.212,0.212,sadness
8079,joy,0.268,0.268,0.287,0.268,0.268,0.268,sadness
8080,joy,0.342,0.342,0.37,0.342,0.342,0.342,sadness
8081,joy,0.42,0.456,0.414,0.385,0.42,0.42,love
8082,fear,0.275,0.275,0.296,0.275,0.275,0.275,sadness
8083,joy,0.462,0.462,0.5,0.462,0.462,0.462,sadness
8084,sadness,0.275,0.275,0.296,0.275,0.275,0.275,sadness
8085,joy,0.323,0.323,0.349,0.323,0.323,0.323,sadness
8086,joy,0.255,0.255,0.275,0.255,0.255,0.255,sadness
8087,sadness,0.275,0.275,0.295,0.275,0.275,0.275,sadness
8088,sadness,0,0,0,0,0,0,not found
8089,fear,0.391,0.391,0.423,0.391,0.391,0.391,sadness
8090,anger,0.336,0.336,0.364,0.336,0.336,0.336,sadness
8091,sadness,0.183,0.183,0.197,0.183,0.183,0.183,sadness
8092,joy,0.288,0.288,0.31,0.288,0.288,0.288,sadness
8093,fear,0.233,0.233,0.25,0.233,0.233,0.233,sadness
8094,anger,0.286,0.286,0.308,0.286,0.286,0.286,sadness
8095,joy,0.185,0.185,0.198,0.185,0.185,0.185,sadness
8096,joy,0.24,0.24,0.257,0.24,0.24,0.24,sadness
8097,sadness,0.267,0.267,0.29,0.267,0.267,0.267,sadness
8098,joy,0.243,0.243,0.258,0.243,0.243,0.243,sadness
8099,love,0.659,0.659,0.662,0.611,0.659,0.659,sadness
8100,sadness,0,0,0,0,0,0,not found
8101,fear,0.332,0.332,0.358,0.332,0.332,0.332,sadness
8102,anger,0.308,0.308,0.333,0.308,0.308,0.308,sadness
8103,fear,0.487,0.487,0.53,0.487,0.487,0.487,sadness
8104,love,0,0,0,0,0,0,not found
8105,joy,0.291,0.291,0.315,0.291,0.291,0.291,sadness
8106,anger,0.491,0.491,0.535,0.491,0.491,0.491,sadness
8107,sadness,0.308,0.308,0.333,0.308,0.308,0.308,sadness
8108,joy,0.281,0.281,0.303,0.281,0.281,0.281,sadness
8109,surprise,0.315,0.315,0.339,0.315,0.315,0.315,sadness
8110,anger,0.287,0.287,0.31,0.287,0.287,0.287,sadness
8111,sadness,0.198,0.198,0.212,0.198,0.198,0.198,sadness
8112,anger,0.194,0.194,0.209,0.194,0.194,0.194,sadness
8113,joy,0.125,0.125,0.133,0.125,0.125,0.125,sadness
8114,sadness,0.618,0.618,0.671,0.618,0.618,0.618,sadness
8115,joy,0.323,0.323,0.347,0.323,0.323,0.323,sadness
8116,sadness,0.262,0.262,0.28,0.262,0.262,0.262,sadness
8117,fear,0.483,0.483,0.526,0.483,0.483,0.483,sadness
8118,sadness,0.337,0.337,0.363,0.337,0.337,0.337,sadness
8119,joy,0.175,0.175,0.188,0.175,0.175,0.175,sadness
8120,sadness,0.234,0.234,0.25,0.234,0.234,0.234,sadness
8121,joy,0.239,0.239,0.256,0.239,0.239,0.239,sadness
8122,surprise,0.111,0.111,0.118,0.111,0.111,0.111,sadness
8123,sadness,0.407,0.407,0.439,0.407,0.407,0.407,sadness
8124,anger,0.25,0.25,0.267,0.25,0.25,0.25,sadness
8125,sadness,0.243,0.243,0.258,0.243,0.243,0.243,sadness
8126,joy,0.234,0.234,0.25,0.234,0.234,0.234,sadness
8127,joy,0.231,0.231,0.248,0.231,0.231,0.231,sadness
8128,joy,0.225,0.225,0.244,0.225,0.225,0.225,sadness
8129,joy,0.212,0.212,0.23,0.212,0.212,0.212,sadness
8130,joy,0.5,0.5,0.545,0.5,0.5,0.5,sadness
8131,joy,0.297,0.297,0.321,0.297,0.297,0.297,sadness
8132,sadness,0.185,0.185,0.198,0.185,0.185,0.185,sadness
8133,joy,0,0,0,0,0,0,not found
8134,fear,0.235,0.235,0.25,0.235,0.235,0.235,sadness
8135,love,0.3,0.3,0.325,0.3,0.3,0.3,sadness
8136,joy,0.224,0.224,0.24,0.224,0.224,0.224,sadness
